;;;;;Energia;Macronutrientes;;;A.G. Saturados;A.G. Insaturados;;;Fibra   ;;;Macrominerales;;;;;Oligoelementos;;;;;Vit. Liposolubles;;;;Vit. Hidrosolubles;;;;;;;;Verificacion;;;;;;;
Grupo alimentario;#;Alimento;Cantidad(g/mL);Medida casera;Kcal;CHO(g);Proteina(g);Grasa(g);A.G.S(g);A.G.M(g);A.G.P(g);Colesterol (mg);Fibra soluble;Fibra insoluble;Fibra total;Calcio(Ca)(mg);Fosforo(P)(mg);Sodio(Na)(mg);Potasio(K)(mg);Magnesio(Mg)(mg);Hierro(Fe)(mg);Zinc(Zn) (mg);Cobre(Cu)(mg);Manganeso(Mn)(mg);Selenio(Se)(mcg);Vit. E(mg);Vit.K(mcg);Vit.D(UI);Vit.A(ER); Vit.B1(mg);Vit.B2(mg);Vit.B3(mg);Vit.B5(mg);Vit.B6(mg);Vit.B9(mcg);Vit.B12(mcg);Vit.C(mg);Aprobado;;;;;;;
L1;1;Leche entera pasteurizada;180;1 vaso de 6 onzas;110;8,46;5,94;5,94;3,74;1,75;0,22;25,20;0,00;0,00;0,00;214,20;167,40;88,20;273,60;23,40;0,18;0,68;0,02;0,00;0,00;0,18;7,20;0,00;55,80;0,07;0,29;0,18;0,56;0,07;9,00;0,65;1,80;;;;;"Herramienta desarrollada por Yohan Adrian Ruiz Gualdron - Estudiante de
Nutrición y Dietética de la Universidad Industrial de Santander.
Elaborada a partir del Sistema de Alimentos Equivalentes UIS";;;
L2;2;Leche liquida entera;180;1 vaso de 6 onzas;110;8,28;6,12;5,94;3,62;1,73;0,22;25,20;0,00;0,00;0,00;216,00;171,00;88,20;273,60;23,40;0,36;0,68;0,00;0,00;3,60;0,18;0,00;3,60;64,80;0,07;0,32;0,18;0,56;0,07;9,00;0,65;3,60;;;;;;;;
L3;3;Leche baja en grasa 2% con adicion de Vit. A;220;1 pocillo chocolatero grande;110;12,48;8,58;4,94;3,12;1,46;0,18;20,80;0,00;0,00;0,00;317,20;247,00;130,00;400,40;36,40;0,26;1,01;0,03;0,00;5,72;0,18;0,00;104,00;148,20;0,10;0,44;0,26;0,83;0,10;13,00;0,94;2,60;;;;;;;;
L4;4;Leche baja en grasa 1% con adicion de Vit. A;260;1 vaso de 9 onzas;110;10,56;7,26;2,42;1,45;0,68;0,09;8,80;0,00;0,00;0,00;270,60;211,20;112,20;343,20;30,80;0,22;0,86;0,02;0,00;4,84;0,09;0,00;88,00;129,80;0,09;0,37;0,22;0,70;0,09;11,00;0,81;2,20;;;;;;;;
L5;5;Leche descremada pasteurizada, con adicion de Vit.A ;315;1 vaso grande;110;15,40;10,71;0,63;0,38;0,16;0,13;6,30;0,00;0,00;0,00;387,45;318,15;163,80;522,90;34,65;0,00;1,26;0,03;0,00;6,62;0,13;12,60;126,00;192,15;0,13;0,44;0,32;1,04;0,13;15,75;1,20;3,15;;;;;;;;
L6;6;Leche en polvo entera;20;2 cucharadas soperas rasas;110;7,68;5,26;5,34;3,35;1,58;0,01;19,40;0,00;0,00;0,00;182,40;155,20;74,20;266,00;17,00;0,10;0,67;0,02;0,01;3,26;0,22;0,00;62,40;56,00;0,06;0,24;0,12;0,45;0,06;7,40;0,65;1,80;;;;;;;;
L7;7;Leche en polvo descremada con adicion de Vit. A;30;3 cucharadas soperas rasas;110;15,60;10,86;0,24;0,15;0,06;0,01;6,00;0,00;0,00;0,00;377,10;290,40;160,50;538,20;33,00;0,09;1,22;0,01;0,01;0,69;0,00;0,00;0,00;213,00;0,13;0,47;0,30;1,07;0,11;15,00;1,21;2,10;;;;;;;;
L8;8;Leche en polvo descremada sin adicion de Vit.A;30;3 cucharadas soperas rasas;110;15,60;10,86;0,24;0,15;0,06;0,01;6,00;0,00;0,00;0,00;377,10;290,40;160,50;538,20;33,00;0,09;1,22;0,01;0,01;0,69;0,00;0,00;0,00;2,40;0,13;0,47;0,30;1,07;0,11;15,00;1,21;2,10;;;;;;;;
L9;9;Leche evaporada sin adicion de Vit. A;80;1 vaso de 2 onzas y 1/2;110;8,00;5,44;6,08;3,67;1,87;0,20;23,20;0,00;0,00;0,00;208,80;162,40;84,80;242,40;19,20;0,16;0,62;0,02;0,01;0,00;0,00;0,00;0,00;43,20;0,04;0,26;0,02;0,51;0,04;6,40;0,13;1,60;;;;;;;;
